Select ,CRN ,Subj ,Crse ,Sec ,Cmp ,Cred ,Part of Term ,Title ,Days ,Time ,Cap ,Act ,Rem ,Instructor ,Date (MM/DD) ,Location ,Attribute
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,01:15 pm-02:05 pm ,  ,  ,  ,Yang Mi (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11545,CSCE ,101,10,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,03:30 pm-04:20 pm ,24,7,17,Yugendhar Reddy Sarabudla (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,02:20 pm-03:10 pm ,  ,  ,  ,Yugendhar Reddy Sarabudla (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11550,CSCE ,101,11,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,03:30 pm-04:20 pm ,24,5,19,Yugendhar Reddy Sarabudla (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,04:25 pm-05:15 pm ,  ,  ,  ,Yugendhar Reddy Sarabudla (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11552,CSCE ,101,12,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,10:05 am-10:55 am ,24,12,12,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,08:30 am-09:20 am ,  ,  ,  ,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11562,CSCE ,101,13,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,10:05 am-10:55 am ,24,16,8,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,09:40 am-10:30 am ,  ,  ,  ,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
C ,11572,CSCE ,101,14,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,10:05 am-10:55 am ,24,24,0,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,10:50 am-11:40 am ,  ,  ,  ,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11574,CSCE ,101,15,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,02:50 pm-03:40 pm ,24,23,1,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,01:10 pm-02:00 pm ,  ,  ,  ,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11598,CSCE ,101,16,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,02:50 pm-03:40 pm ,24,14,10,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,02:20 pm-03:10 pm ,  ,  ,  ,Natasha Delahunt (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,24654,CSCE ,101,17,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,03:30 pm-04:20 pm ,24,5,19,Yugendhar Reddy Sarabudla (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,03:30 pm-04:20 pm ,  ,  ,  ,Phani Krishna Penumarthi ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
C ,23511,CSCE ,101,Z1A ,COL ,3,3B7 - Columbia ,Introduction to Computer Concepts ,  ,TBA ,15,15,0,James Orren McKay (P) ,08/28-10/17 ,WEB COLUMBIA ,ARP Analytical Reasoning and Ft. Jackson Location
C ,11701,CSCE ,102,1,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,09:40 am-10:30 am ,24,24,0,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,08:30 am-09:20 am ,  ,  ,  ,Adem Coskun ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11702,CSCE ,102,2,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,09:40 am-10:30 am ,24,25,-1,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,09:40 am-10:30 am ,  ,  ,  ,Alireza Nasiri ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11703,CSCE ,102,3,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,09:40 am-10:30 am ,24,23,1,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,10:05 am-10:50 am ,  ,  ,  ,Md Modasshir ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11704,CSCE ,102,4,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,12:00 pm-12:50 pm ,24,22,2,Alireza Nasiri (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,10:50 am-11:40 am ,  ,  ,  ,Jing Wang ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11705,CSCE ,102,5,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,12:00 pm-12:50 pm ,24,24,0,Alireza Nasiri (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,12:00 pm-12:50 pm ,  ,  ,  ,Taylor Aldon Morris ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11707,CSCE ,102,6,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,12:00 pm-12:50 pm ,24,25,-1,Alireza Nasiri (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,11:40 am-12:30 pm ,  ,  ,  ,Adem Coskun ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11710,CSCE ,102,7,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,02:20 pm-03:10 pm ,24,24,0,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,01:10 pm-02:00 pm ,  ,  ,  ,Jing Wang ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11713,CSCE ,102,8,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,02:20 pm-03:10 pm ,24,23,1,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,02:20 pm-03:10 pm ,  ,  ,  ,Xian Wu ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11717,CSCE ,102,9,COL ,3,30 - Columbia Full Term ,General Applications Programming ,MW ,02:20 pm-03:10 pm ,24,24,0,Catherine T Matthews (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,02:50 pm-03:40 pm ,  ,  ,  ,Adem Coskun ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11721,CSCE ,102,10,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,11:40 am-12:30 pm ,24,23,1,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,12:00 pm-12:50 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11722,CSCE ,102,11,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,11:40 am-12:30 pm ,24,24,0,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,01:10 pm-02:00 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,11724,CSCE ,102,12,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,11:40 am-12:30 pm ,23,24,-1,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,02:20 pm-03:10 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11725,CSCE ,102,13,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,06:40 pm-07:30 pm ,24,18,6,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,T ,05:30 pm-06:20 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11726,CSCE ,102,14,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,06:40 pm-07:30 pm ,24,13,11,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,05:30 pm-06:20 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11728,CSCE ,102,15,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,06:40 pm-07:30 pm ,24,12,12,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,05:30 pm-06:20 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,11729,CSCE ,102,16,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,05:30 pm-06:20 pm ,24,10,14,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,T ,07:00 pm-07:50 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,20949,CSCE ,102,17,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,05:30 pm-06:20 pm ,24,6,18,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,W ,07:00 pm-07:50 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
SR ,22383,CSCE ,102,18,COL ,3,30 - Columbia Full Term ,General Applications Programming ,TR ,05:30 pm-06:20 pm ,24,3,21,TBA ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,07:00 pm-07:50 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 361 ,ARP Analytical Reasoning
C ,23509,CSCE ,102,Z1A ,COL ,3,3B7 - Columbia ,General Applications Programming ,  ,TBA ,15,15,0,James Orren McKay (P) ,08/28-10/17 ,WEB COLUMBIA ,ARP Analytical Reasoning and Ft. Jackson Location
C ,23107,CSCE ,102,Z1B ,COL ,3,3B8 - Columbia ,General Applications Programming ,  ,TBA ,15,15,0,James Orren McKay (P) ,10/23-12/12 ,WEB COLUMBIA ,ARP Analytical Reasoning and Ft. Jackson Location
SR ,25910,CSCE ,102,Z2B ,COL ,3,3B8 - Columbia ,General Applications Programming ,TR ,05:20 pm-07:50 pm ,15,1,14,James Orren McKay (P) ,10/23-12/12 ,FJAC 1 ,ARP Analytical Reasoning and Ft. Jackson Location
C ,11742,CSCE ,145,1,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:00 am-09:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
SR ,11743,CSCE ,145,3,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,23,1,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,10:00 am-11:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
C ,11744,CSCE ,145,4,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,10:01 am-11:41 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
C ,11745,CSCE ,145,5,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,12:00 pm-01:50 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
C ,11746,CSCE ,145,6,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,12:01 pm-01:41 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
C ,16555,CSCE ,145,8,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,02:01 pm-03:41 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
C ,18035,CSCE ,145,9,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,04:00 pm-05:40 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
SR ,20945,CSCE ,145,13,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:00 am-09:40 am ,24,19,5,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
SR ,20947,CSCE ,145,15,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,10:00 am-11:40 am ,24,23,1,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
C ,20948,CSCE ,145,16,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,10:00 am-11:40 am ,24,24,0,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
C ,21894,CSCE ,145,17,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,12:00 pm-01:40 pm ,24,24,0,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
C ,21895,CSCE ,145,18,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,12:00 pm-01:40 pm ,24,24,0,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
SR ,21896,CSCE ,145,19,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,02:00 pm-03:40 pm ,24,23,1,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
SR ,21897,CSCE ,145,20,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,02:00 pm-03:40 pm ,24,16,8,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
SR ,21898,CSCE ,145,21,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,04:00 pm-05:40 pm ,24,18,6,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:30 am-09:20 am ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
SR ,22909,CSCE ,145,25,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,08:30 am-09:20 am ,24,15,9,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,06:00 pm-07:40 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
C ,23924,CSCE ,145,26,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,01:10 pm-02:00 pm ,24,24,0,James Paul O'Reilly (P) ,08/24-12/08 ,300MN B103 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,04:00 pm-05:40 pm ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning
C ,23974,CSCE ,145,27,COL ,4,30 - Columbia Full Term ,Algorithmic Design I ,MW ,01:10 pm-02:00 pm ,24,24,0,James Paul O'Reilly (P) ,08/24-12/08 ,300MN B103 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,02:00 pm-03:40 pm ,  ,  ,  ,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 1D11 ,ARP Analytical Reasoning
SR ,25219,CSCE ,145,H01 ,COL ,4,30 - Columbia Full Term ,HNRS: Algorithmic Design I ,MW ,01:10 pm-02:00 pm ,24,23,1,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 2A21 ,ARP Analytical Reasoning and SC Honors College
  ,  ,  ,  ,  ,  ,  ,  ,  ,TR ,08:00 am-09:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D15 ,ARP Analytical Reasoning and SC Honors College
SR ,11749,CSCE ,146,1,COL ,4,30 - Columbia Full Term ,Algorithmic Design II ,TR ,10:05 am-11:20 am ,24,19,5,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,08:00 am-09:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 , 
SR ,11751,CSCE ,146,2,COL ,4,30 - Columbia Full Term ,Algorithmic Design II ,TR ,10:05 am-11:20 am ,24,18,6,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,08:00 am-09:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D15 , 
SR ,11754,CSCE ,146,3,COL ,4,30 - Columbia Full Term ,Algorithmic Design II ,TR ,10:05 am-11:20 am ,24,23,1,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,10:00 am-11:40 am ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 , 
C ,11763,CSCE ,146,5,COL ,4,30 - Columbia Full Term ,Algorithmic Design II ,TR ,10:05 am-11:20 am ,24,24,0,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,12:00 pm-01:40 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 , 
SR ,22313,CSCE ,146,7,COL ,4,30 - Columbia Full Term ,Algorithmic Design II ,TR ,10:05 am-11:20 am ,24,23,1,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1C01 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,02:00 pm-03:40 pm ,  ,  ,  ,Jeremiah Jeffrey Shepherd (P) ,08/24-12/08 ,SWGN 1D11 , 
SR ,12642,CSCE ,190,1,COL ,1,30 - Columbia Full Term ,Computing in the Modern World ,T ,06:00 pm-06:50 pm ,330,328,2,Marco Valtorta (P) ,08/24-12/08 ,SWGN 1C01 , 
SR ,11731,CSCE ,201,1,COL ,3,30 - Columbia Full Term ,Introduction to Computer Security ,MW ,04:25 pm-05:40 pm ,35,13,22,Neema Jeevan Kanapala (P) ,08/24-12/08 ,300MN B111 , 
SR ,20587,CSCE ,201,2,COL ,3,30 - Columbia Full Term ,Introduction to Computer Security ,TR ,02:50 pm-04:05 pm ,35,27,8,Neema Jeevan Kanapala (P) ,08/24-12/08 ,300MN B213 , 
C ,11730,CSCE ,204,1,COL ,3,30 - Columbia Full Term ,Program Design and Development ,MW ,08:05 am-09:20 am ,40,40,0,Mingxiang Zhu (P) ,08/24-12/08 ,SWGN 2A31 , 
SR ,12675,CSCE ,205,1,COL ,3,30 - Columbia Full Term ,Business Applications Programming ,MW ,05:30 pm-06:45 pm ,60,47,13,Christine M.G. Brown (P) ,08/24-12/08 ,SMWALT 305 , 
SR ,12705,CSCE ,206,1,COL ,3,30 - Columbia Full Term ,Scientific Applications Programming ,TR ,10:05 am-11:20 am ,60,41,19,Jianjun Hu (P) ,08/24-12/08 ,HZNPG 210 , 
SR ,12718,CSCE ,210,1,COL ,3,30 - Columbia Full Term ,Computer Hardware Foundations ,TR ,10:05 am-11:20 am ,75,46,29,Matt Eric Thatcher (P) ,08/24-12/08 ,300MN B213 , 
C ,12752,CSCE ,211,1,COL ,3,30 - Columbia Full Term ,Digital Logic Design ,TR ,10:05 am-11:20 am ,66,66,0,Chin-Tser Huang (P) ,08/24-12/08 ,SWGN 2A14 , 
C ,15492,CSCE ,211,2,COL ,3,30 - Columbia Full Term ,Digital Logic Design ,TR ,08:30 am-09:45 am ,49,49,0,Jeremy Shane Lewis (P) ,08/24-12/08 ,SWGN 2A31 , 
C ,16554,CSCE ,211,3,COL ,3,30 - Columbia Full Term ,Digital Logic Design ,TR ,02:50 pm-04:05 pm ,49,49,0,Jeremy Shane Lewis (P) ,08/24-12/08 ,SWGN 2A27 , 
SR ,24803,CSCE ,211,H01 ,COL ,3,30 - Columbia Full Term ,HNRS: Digital Logic Design ,TR ,01:15 pm-02:30 pm ,24,19,5,Chin-Tser Huang (P) ,08/24-12/08 ,SWGN 2A24 ,SC Honors College
SR ,12762,CSCE ,212,1,COL ,3,30 - Columbia Full Term ,Introduction to Computer Architecture ,TR ,01:15 pm-02:30 pm ,61,55,6,Song Wang (P) ,08/24-12/08 ,300MN B110 , 
SR ,16727,CSCE ,212,2,COL ,3,30 - Columbia Full Term ,Introduction to Computer Architecture ,MW ,05:50 pm-07:05 pm ,49,22,27,Dazhou Guo (P) ,08/24-12/08 ,SWGN 2A31 , 
C ,14194,CSCE ,215,801,COL ,1,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,16,0,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,09:40 am-10:30 am ,  ,  ,  ,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 1D39 , 
NR ,14198,CSCE ,215,802,COL ,1,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,15,1,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,10:50 am-11:40 am ,  ,  ,  ,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 1D39 , 
NR ,14199,CSCE ,215,803,COL ,1,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,15,1,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,12:00 pm-12:50 pm ,  ,  ,  ,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 1D39 , 
NR ,16721,CSCE ,215,804,COL ,1,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,14,2,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,01:10 pm-02:00 pm ,  ,  ,  ,Patrick B. O'Keefe (P) ,08/24-10/16 ,SWGN 1D39 , 
C ,14200,CSCE ,215,851,COL ,1,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,16,0,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 2A14 , 
