Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,12361,ECIV,899,9,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,2,48,Fabio Matta (P),08/24-12/08,TBA, ,
NR,12365,ECIV,899,10,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,0,50,Anthony Stephen McAnally (P),08/24-12/08,TBA, ,
NR,12367,ECIV,899,11,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,1,49,Michael Edward Meadows (P),08/24-12/08,TBA, ,
NR,12370,ECIV,899,12,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,1,49,Robert Louis Mullen (P),08/24-12/08,TBA, ,
NR,12375,ECIV,899,13,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,2,48,Charles Edward Pierce (P),08/24-12/08,TBA, ,
NR,12378,ECIV,899,14,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,1,49,Dimitrios C Rizos (P),08/24-12/08,TBA, ,
NR,12380,ECIV,899,15,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,3,47,Inthuorn Sasanakul (P),08/24-12/08,TBA, ,
NR,18469,ECIV,899,16,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,5,45,Enrica Viparelli (P),08/24-12/08,TBA, ,
NR,20628,ECIV,899,17,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,1,49,Yeomin Yoon (P),08/24-12/08,TBA, ,
NR,21907,ECIV,899,18,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation in Civil Engineering, ,TBA,50,3,47,Paul H. Ziehl (P),08/24-12/08,TBA, ,
