Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
C,12955,EMCH,362,7,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,03:30 pm-05:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,12956,EMCH,362,8,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,05:31 pm-07:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18548,EMCH,362,9,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,07:31 pm-09:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18549,EMCH,362,10,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,11,-1,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,02:50 pm-04:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18550,EMCH,362,11,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,04:51 pm-06:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18551,EMCH,362,12,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,06:51 pm-08:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,11065,EMCH,363,1,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,03:30 pm-05:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
C,11071,EMCH,363,2,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,05:31 pm-07:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11074,EMCH,363,3,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,8,2,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,07:31 pm-09:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
C,11076,EMCH,363,4,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,02:50 pm-04:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11077,EMCH,363,5,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,7,3,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,04:51 pm-06:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11080,EMCH,363,6,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,5,5,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,06:51 pm-08:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11082,EMCH,363,7,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,5,5,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,W,03:30 pm-05:30 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
C,16862,EMCH,363,8,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,10,0,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,W,05:31 pm-07:30 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
NR,18552,EMCH,363,9,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,8,2,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,W,07:31 pm-09:30 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
C,18553,EMCH,363,10,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,10,0,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,R,02:50 pm-04:50 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
C,24952,EMCH,363,11,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,10,0,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,R,04:51 pm-06:50 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
NR,11097,EMCH,371,1,COL,3,30 - Columbia Full Term,Engineering Materials,TR,10:05 am-11:20 am,98,86,12,Fanglin Chen (P),08/24-12/08,WMBB 125, ,
NR,11100,EMCH,377,1,COL,3,30 - Columbia Full Term,Manufacturing Processes,MWF,09:40 am-10:30 am,140,89,51,Ramy Farid Harik (P),08/24-12/08,SWGN 1C01, ,
NR,11102,EMCH,394,1,COL,3,30 - Columbia Full Term,Thermodynamic System Design and Analysis,TR,04:25 pm-05:40 pm,130,122,8,Cyrus Khezr Riahi-Nezhad (P),08/24-12/08,SWGN 1C01, ,
C,11104,EMCH,427,1,COL,3,30 - Columbia Full Term,Mechanical Design I,MWF,10:50 am-11:40 am,56,56,0,Andrew R Sabalowsky (P),08/24-12/08,SWGN 2A14,GLD: Research and INT Integrative,
NR,17997,EMCH,427,2,COL,3,30 - Columbia Full Term,Mechanical Design I,MWF,01:10 pm-02:00 pm,56,51,5,Andrew R Sabalowsky (P),08/24-12/08,300MN B201,GLD: Research and INT Integrative,
NR,11106,EMCH,428,1,COL,3,30 - Columbia Full Term,Mechanical Design II,MWF,12:00 pm-12:50 pm,78,69,9,Xinyu Huang (P),08/24-12/08,300MN B201,GLD: Research,
NR,20639,EMCH,441,1,COL,3,30 - Columbia Full Term,Automotive System Fundamentals,MW,02:20 pm-03:35 pm,200,52,148,Stephen R McNeill (P),08/24-12/08,SWGN 1C01, ,
NR,24103,EMCH,460,1,COL,1.000-3.000,30 - Columbia Full Term,Special Problems, ,TBA,10,3,7,Victor Giurgiutiu (P),08/24-12/08,TBA,GLD: Research,
NR,11108,EMCH,499,1,COL,1,30 - Columbia Full Term,Fundamentals of Engineering Preparation,MW,03:55 pm-05:10 pm,25,6,19,Stephen R McNeill (P),08/24-12/08,SWGN 2A24, ,
NR,11924,EMCH,501,1,COL,3,30 - Columbia Full Term,Engineering Analysis I,MW,09:30 am-10:45 am,22,13,9,Sourav Banerjee (P),08/24-12/08,SWGN 2A07, ,
NR,11928,EMCH,501,6,COL,3,30 - Columbia Full Term,Engineering Analysis I,MW,09:30 am-10:45 am,22,0,22,Sourav Banerjee (P),08/24-12/08,WEB COLUMBIA, ,
C,12959,EMCH,507,1,COL,3,30 - Columbia Full Term,Computer-Aided Design,MW,02:20 pm-03:35 pm,33,36,-3,David N. Rocheleau (P),08/24-12/08,300MN B110, ,
NR,16863,EMCH,507,H10,COL,3,30 - Columbia Full Term,HNRS: Computer-Aided Design,MW,02:20 pm-03:35 pm,2,1,1,David N. Rocheleau (P),08/24-12/08,300MN B110,SC Honors College,
NR,11765,EMCH,508,1,COL,3,30 - Columbia Full Term,Finite Element Analysis in Mechanical Engineering,TR,01:15 pm-02:30 pm,26,23,3,Xiaomin Deng (P),08/24-12/08,SWGN 2A11, ,
NR,16132,EMCH,508,2,COL,3,30 - Columbia Full Term,Finite Element Analysis in Mechanical Engineering,TR,01:15 pm-02:30 pm,30,19,11,Xiaomin Deng (P),08/24-09/18,SWGN 2A15, ,
 , , , , , , , , ,TR,01:15 pm-02:30 pm, , , ,Xiaomin Deng (P),09/19-12/08,SWGN 2A07, ,
NR,11768,EMCH,508,6,COL,3,30 - Columbia Full Term,Finite Element Analysis in Mechanical Engineering,TR,01:15 pm-02:30 pm,22,7,15,Xiaomin Deng (P),08/24-12/08,WEB COLUMBIA, ,
C,25394,EMCH,508,H10,COL,3,30 - Columbia Full Term,HNRS: Finite Element Analysis in Mechanical Engineering,TR,01:15 pm-02:30 pm,2,2,0,Xiaomin Deng (P),08/24-12/08,SWGN 2A11,SC Honors College,
C,25028,EMCH,509,1,COL,3,30 - Columbia Full Term,Computer-Aided Manufacturing,MW,03:55 pm-05:10 pm,18,25,-7,Ramy Farid Harik (P),08/24-12/08,SWGN 1D29, ,
C,25029,EMCH,509,H10,COL,3,30 - Columbia Full Term,HNRS: Computer-Aided Manufacturing,MW,03:55 pm-05:10 pm,2,2,0,Ramy Farid Harik (P),08/24-12/08,SWGN 1D29,SC Honors College,
NR,25004,EMCH,516,1,COL,3,30 - Columbia Full Term,Control Theory in Mechanical Engineering,MW,02:20 pm-03:35 pm,37,30,7,Victor Giurgiutiu (P),08/24-12/08,300MN B101, ,
NR,25005,EMCH,516,H10,COL,3,30 - Columbia Full Term,HNRS: Control Theory in Mechanical Engineering,MW,02:20 pm-03:35 pm,3,2,1,Victor Giurgiutiu (P),08/24-12/08,300MN B101,SC Honors College,
NR,16864,EMCH,544,1,COL,3,30 - Columbia Full Term,Compressible Fluid Flow,TR,08:30 am-09:45 am,34,23,11,Tanvir Igbal Farouk (P),08/24-12/08,SWGN 2A19, ,
C,18555,EMCH,544,H10,COL,3,30 - Columbia Full Term,HNRS: Compressible Fluid Flow,TR,08:30 am-09:45 am,2,2,0,Tanvir Igbal Farouk (P),08/24-12/08,SWGN 2A19,SC Honors College,
NR,11771,EMCH,552,1,COL,3,30 - Columbia Full Term,Introduction to Nuclear Engineering,MW,12:30 pm-01:45 pm,22,15,7,Anthony Michael Scopatz (P),08/24-12/08,SWGN 2A05, ,
NR,11773,EMCH,552,6,COL,3,30 - Columbia Full Term,Introduction to Nuclear Engineering,MW,12:30 pm-01:45 pm,22,4,18,Anthony Michael Scopatz (P),08/24-12/08,WEB COLUMBIA, ,
NR,16868,EMCH,556,1,COL,3,30 - Columbia Full Term,Introduction to Risk Analysis and Reactor Safety,MW,08:05 am-09:20 am,21,11,10,Travis W. Knight (P),08/24-12/08,SWGN 2A11, ,
NR,16869,EMCH,556,6,COL,3,30 - Columbia Full Term,Introduction to Risk Analysis and Reactor Safety,MW,08:05 am-09:20 am,28,1,27,Travis W. Knight (P),08/24-12/08,WEB COLUMBIA, ,
NR,11774,EMCH,557,1,COL,3,30 - Columbia Full Term,Introduction to Radiation Shielding and Sources,MW,02:20 pm-03:35 pm,17,3,14,Travis W. Knight (P),08/24-12/08,SWGN 2A11, ,
NR,11776,EMCH,557,6,COL,3,30 - Columbia Full Term,Introduction to Radiation Shielding and Sources,MW,02:20 pm-03:35 pm,28,0,28,Travis W. Knight (P),08/24-12/08,WEB COLUMBIA, ,
NR,21988,EMCH,557,H10,COL,3,30 - Columbia Full Term,HNRS: Introduction to Radiation Shielding and Sources,MW,02:20 pm-03:35 pm,3,2,1,Travis W. Knight (P),08/24-12/08,SWGN 2A11,SC Honors College,
NR,21991,EMCH,561,1,COL,3,30 - Columbia Full Term,Current Topics in Mechanical Engineering,TR,11:40 am-12:55 pm,22,19,3,Theodore Martin Besmann (P),08/24-12/08,SWGN 2A07, ,
NR,18563,EMCH,561,2,COL,3,30 - Columbia Full Term,Current Topics in Mechanical Engineering,TR,10:05 am-11:20 am,22,12,10,Zafer Gurdal (P),08/24-12/08,SWGN 2A07, ,
NR,21993,EMCH,561,6,COL,3,30 - Columbia Full Term,Current Topics in Mechanical Engineering,TR,11:40 am-12:55 pm,22,5,17,Theodore Martin Besmann (P),08/24-12/08,WEB COLUMBIA, ,
NR,18564,EMCH,561,7,COL,3,30 - Columbia Full Term,Current Topics in Mechanical Engineering,TR,10:05 am-11:20 am,28,0,28,Zafer Gurdal (P),08/24-12/08,WEB COLUMBIA, ,
NR,29189,EMCH,567,1,COL,3,30 - Columbia Full Term,Bio Nano/Micro Electro-Mechanical Systems,TR,04:25 pm-05:40 pm,5,2,3,Guiren Wang (P),08/24-12/08,300MN B102, ,
NR,25008,EMCH,572,1,COL,3,30 - Columbia Full Term,Physical Metallurgy,MW,08:05 am-09:20 am,22,16,6,Anthony P. Reynolds (P),08/24-12/08,SWGN 2A24, ,
NR,25009,EMCH,572,H10,COL,3,30 - Columbia Full Term,HNRS: Physical Metallurgy,MW,08:05 am-09:20 am,3,1,2,Anthony P. Reynolds (P),08/24-12/08,SWGN 2A24,SC Honors College,
NR,18566,EMCH,576,1,COL,3,30 - Columbia Full Term,Fundamentals and Applications of Fuel Cells,TR,01:15 pm-02:30 pm,36,8,28,Fanglin Chen (P),08/24-12/08,300MN B101, ,
NR,11954,EMCH,577,1,COL,3,30 - Columbia Full Term,Aerospace Structures I,MW,11:00 am-12:15 pm,24,22,2,Addis Asmelash Kidane (P),08/24-12/08,SWGN 2A05, ,
NR,11962,EMCH,577,6,COL,3,30 - Columbia Full Term,Aerospace Structures I,MW,11:00 am-12:15 pm,22,2,20,Addis Asmelash Kidane (P),08/24-12/08,WEB COLUMBIA, ,
NR,12179,EMCH,577,H10,COL,3,30 - Columbia Full Term,HNRS: Aerospace Structures I,MW,11:00 am-12:15 pm,4,3,1,Addis Asmelash Kidane (P),08/24-12/08,SWGN 2A05,SC Honors College,
NR,11973,EMCH,584,1,COL,3,30 - Columbia Full Term,Advanced Mechanics of Materials,TR,04:25 pm-05:40 pm,19,14,5,Leo A Carrilho (P),08/24-12/08,SWGN 2A11, ,
NR,11984,EMCH,584,6,COL,3,30 - Columbia Full Term,Advanced Mechanics of Materials,TR,04:26 pm-05:41 pm,22,3,19,Leo A Carrilho (P),08/24-12/08,WEB COLUMBIA, ,
NR,12182,EMCH,584,H10,COL,3,30 - Columbia Full Term,HNRS: Advanced Mechanics of Materials,TR,04:25 pm-05:40 pm,3,1,2,Leo A Carrilho (P),08/24-12/08,SWGN 2A11,SC Honors College,
NR,22927,EMCH,586,1,COL,3,30 - Columbia Full Term,Experimental Stress Analysis,MW,08:05 am-09:20 am,30,4,26,Michael Albert Sutton (P),08/24-12/08,300MN B111, ,
NR,25555,EMCH,592,1,COL,3,30 - Columbia Full Term,Introduction to Combustion,MW,02:20 pm-03:35 pm,27,9,18,Sang Hee Won (P),08/24-12/08,SWGN 2A18, ,
NR,18569,EMCH,721,1,COL,3,30 - Columbia Full Term,Aeroelasticity,MW,11:00 am-12:15 pm,28,18,10,Victor Giurgiutiu (P),08/24-12/08,SWGN 2A11, ,
NR,18574,EMCH,721,6,COL,3,30 - Columbia Full Term,Aeroelasticity,MW,11:00 am-12:15 pm,28,4,24,Victor Giurgiutiu (P),08/24-12/08,WEB COLUMBIA, ,
NR,25010,EMCH,743,1,COL,3,30 - Columbia Full Term,Aircraft and Rocket Propulsion,TR,11:40 am-12:55 pm,22,6,16,Tanvir Igbal Farouk (P),08/24-12/08,SWGN 2A11, ,
NR,25011,EMCH,743,6,COL,3,30 - Columbia Full Term,Aircraft and Rocket Propulsion,TR,11:40 am-12:55 pm,28,1,27,Tanvir Igbal Farouk (P),08/24-12/08,WEB COLUMBIA, ,
NR,12022,EMCH,751,1,COL,3,30 - Columbia Full Term,Advanced Heat Transfer,MW,02:20 pm-03:35 pm,22,11,11,Chen Li (P),08/24-12/08,SWGN 2A07, ,
NR,12028,EMCH,751,6,COL,3,30 - Columbia Full Term,Advanced Heat Transfer,MW,02:20 pm-03:35 pm,22,2,20,Chen Li (P),08/24-12/08,WEB COLUMBIA, ,
C,16870,EMCH,756,1,COL,3,30 - Columbia Full Term,Safety Analysis for Energy Systems,MW,08:05 am-09:20 am,5,6,-1,Travis W. Knight (P),08/24-12/08,SWGN 2A11, ,
NR,16871,EMCH,756,6,COL,3,30 - Columbia Full Term,Safety Analysis for Energy Systems,MW,08:05 am-09:20 am,28,6,22,Travis W. Knight (P),08/24-12/08,WEB COLUMBIA, ,
