Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,12398,EMCH,799,1,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Sourav Banerjee (P),08/24-12/08,TBA, ,
NR,12401,EMCH,799,2,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Abdel-Moez E. Bayoumi (P),08/24-12/08,TBA, ,
NR,12404,EMCH,799,3,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Theodore Martin Besmann (P),08/24-12/08,TBA, ,
NR,12407,EMCH,799,4,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Dan Gabriel Cacuci (P),08/24-12/08,TBA, ,
NR,12414,EMCH,799,5,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,40,0,40,Yuh Jin Chao (P),08/24-12/08,TBA, ,
NR,12416,EMCH,799,6,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Fanglin Chen (P),08/24-12/08,TBA, ,
NR,12418,EMCH,799,7,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Xiaomin Deng (P),08/24-12/08,TBA, ,
NR,12420,EMCH,799,8,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Tanvir Igbal Farouk (P),08/24-12/08,TBA, ,
NR,12424,EMCH,799,9,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Victor Giurgiutiu (P),08/24-12/08,TBA, ,
NR,12426,EMCH,799,10,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Zafer Gurdal (P),08/24-12/08,TBA, ,
NR,12429,EMCH,799,11,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,2,48,Ramy Farid Harik (P),08/24-12/08,TBA, ,
NR,12431,EMCH,799,12,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Kevin Huang (P),08/24-12/08,TBA, ,
NR,12433,EMCH,799,13,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Xinyu Huang (P),08/24-12/08,TBA, ,
NR,12436,EMCH,799,14,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Jamil A. Khan (P),08/24-12/08,TBA, ,
NR,12444,EMCH,799,15,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Addis Asmelash Kidane (P),08/24-12/08,TBA, ,
NR,12447,EMCH,799,16,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,3,47,Travis W. Knight (P),08/24-12/08,TBA, ,
NR,12449,EMCH,799,17,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Chen Li (P),08/24-12/08,TBA, ,
NR,12450,EMCH,799,18,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Prasun Kanti Majumdar (P),08/24-12/08,TBA, ,
NR,12451,EMCH,799,19,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Dale Allen McCants (P),08/24-12/08,TBA, ,
NR,12452,EMCH,799,20,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Stephen R McNeill (P),08/24-12/08,TBA, ,
NR,12453,EMCH,799,21,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Walter Hamilton Peters (P),08/24-12/08,TBA, ,
NR,12455,EMCH,799,22,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Anthony P. Reynolds (P),08/24-12/08,TBA, ,
NR,12456,EMCH,799,23,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,David N. Rocheleau (P),08/24-12/08,TBA, ,
